participante,rol,fecha,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,sus_score
A,Coordinador,2026-09-26,5,2,3,1,3,5,5,5,4,3,60.0
B,Docente,2026-09-25,5,2,3,1,3,4,5,5,5,2,67.5
C,Estudiante,2026-09-24,5,2,2,4,5,5,5,2,5,2,67.5
D,Administrador,2026-09-26,4,3,4,2,4,3,3,3,2,2,60.0
E,Coordinador,2026-09-18,5,2,2,3,2,4,2,2,3,4,47.5
F,Docente,2026-09-24,3,4,4,3,4,3,4,2,3,3,57.5
G,Estudiante,2026-09-14,5,4,4,4,3,5,3,2,3,4,47.5
H,Docente,2026-09-16,3,4,3,4,4,3,4,3,3,3,50.0
I,Estudiante,2026-09-26,4,3,5,2,4,3,5,3,5,2,75.0
J,Administrador,2026-09-29,4,2,5,3,5,3,4,2,5,3,75.0
K,Estudiante,2026-09-16,3,3,3,4,5,4,3,3,4,4,50.0
L,Coordinador,2026-09-26,2,4,3,5,2,4,3,5,3,2,32.5
M,Docente,2026-09-26,5,4,3,4,2,5,3,4,2,3,37.5
N,Estudiante,2026-09-26,2,5,4,3,4,2,3,4,5,3,52.5
Ñ,Estudiante,2026-09-16,3,4,4,5,4,3,4,5,5,4,47.5
